query_order,round,flat_index,row_index,row_label,algorithm_index,algorithm,proposed_by_mu,proposed_by_ca,utility,cost_acquisition,predicted_runtime_mean,predicted_runtime_sd,affordable_repetitions,projected_gain,score,runtime
3166,60,11652,1664,5eo7_SFU_B_405,4,gnina,False,True,0.49681265,0.90966783,2.5162444,0,14672,7289.2352,0.99098463,2.6045292
3167,60,17056,2436,6syz_M1E_B_601,4,gnina,False,True,0.49681265,0.9112678,2.49722,0,14672,7289.2352,0.99566072,1.8965968
3168,60,10378,1482,4wqq_MAN_B_204,4,gnina,False,True,0.49620708,0.90800446,2.3459308,0,14672,7280.3503,0.045734904,1.7754386
3169,60,10539,1505,4xpq_FUL_A_1003,4,gnina,False,True,0.49617985,0.91040361,2.3163064,0,14672,7279.9508,0.0014670546,2.0473653
3170,60,3567,509,1zei_CRS_D_54,4,gnina,False,True,0.4955207,0.91915278,2.2066917,0,14672,7270.2797,0.99369211,1.8616979
3171,60,13003,1857,5la1_XYP_A_602,4,gnina,False,True,0.49370135,0.9157562,2.2232614,0,14672,7243.5862,0.16214341,1.4610784
3172,60,3562,508,1zei_CRS_B_56,6,smina,False,True,0.48015931,1.0624185,0.82649553,0,14672,7044.8974,1.311009e-06,0.56940806
3173,60,16822,2403,6rbr_JXN_A_302,1,unimol,True,False,0.86076144,0.58554643,20.178427,0,7882,6784.5217,0.95237674,13.92
3174,60,5580,797,2vp5_DCZ_A_1210,1,unimol,True,False,0.9094549,0.55811062,23.030001,0,6906,6280.6955,0.98930056,19.09
3175,60,16724,2389,6qor_JBK_B_301,1,unimol,True,False,0.86377807,0.5684656,21.871687,0,7271,6280.5303,0.981224,18.94
3176,60,12993,1856,5l9v_OGA_A_502,1,unimol,True,False,0.8638454,0.56461041,22.268808,0,7142,6169.5839,0,23.29
3177,60,15492,2213,6hl9_SIN_B_402,1,unimol,True,False,0.86268046,0.5621839,22.467249,0,7079,6106.915,0.84672457,21.91
3178,60,1800,257,1lzz_IHG_A_830,1,unimol,True,False,0.86402843,0.56171077,22.576347,0,7044,6086.2162,0.92919724,17.55
3179,60,5503,786,2vag_V25_A_1482,1,unimol,True,False,0.87350027,0.55803454,23.030001,0,6906,6032.3929,0.9788465,20.49
3180,61,17058,2436,6syz_M1E_B_601,6,smina,False,True,0.62846853,1.2138951,0.95889157,0,14622,9189.4668,0.99606932,0.90434289
3181,61,118,16,1anc_BEN_A_290,6,smina,False,True,0.62768456,1.2254452,0.88271922,0,14622,9178.0037,0.98920182,0.88080557
3182,61,11654,1664,5eo7_SFU_B_405,6,smina,False,True,0.6265434,1.2048292,1.0182778,0,14622,9161.3175,0.96055797,0.80632864
3183,61,3569,509,1zei_CRS_D_54,6,smina,False,True,0.62182847,1.2454616,0.75444973,0,14622,9092.3759,0.41055306,0.53975712
