flat_index,proposed_by_mu,proposed_by_ca,utility,cost_acquisition,predicted_runtime_mean,predicted_runtime_sd,affordable_repetitions,projected_gain,ranking_value,selected
15451,False,True,0.30554549,0.62400158,19.603912,0,2872,877.52666,877.52666,True
15591,True,False,0.45151707,0.55559826,37.187565,0,1665,751.77592,751.77592,False
15626,True,False,0.48198421,0.56211525,36.239788,0,1709,823.71101,823.71101,False
15633,True,False,0.38154663,0.56237377,35.703266,0,1734,661.60185,661.60185,False
15843,True,True,0.38159088,0.6168796,28.128025,0,2202,840.26311,840.26311,True
16074,True,False,0.37989579,0.54956018,37.565907,0,1648,626.06827,626.06827,False
16312,True,False,0.5050615,0.55616734,37.565907,0,1648,832.34135,832.34135,False
16403,False,True,0.3331175,0.60982607,22.953485,0,2698,898.75102,898.75102,True
16704,False,True,0.29626437,0.64689686,15.103559,0,2872,850.87127,850.87127,True
16711,True,False,0.48788064,0.55461271,37.565907,0,1648,804.0273,804.0273,False
16865,False,True,0.30968528,0.66515864,16.975101,0,2872,889.41612,889.41612,True
16984,False,True,0.30627339,0.63403361,18.940628,0,2872,879.61717,879.61717,True
17068,False,True,0.36337776,0.6133978,26.886532,0,2303,836.85898,836.85898,True
17082,False,True,0.3633485,0.61631658,26.534657,0,2334,848.05539,848.05539,True
17208,True,False,0.51539006,0.55713898,37.565907,0,1648,849.36282,849.36282,True
17215,True,False,0.46585174,0.5538354,37.565907,0,1648,767.72367,767.72367,False
17292,False,True,0.30914939,0.63514304,19.091648,0,2872,887.87705,887.87705,True
17446,True,False,0.44679778,0.56549037,35.484764,0,1745,779.66213,779.66213,False
17684,False,True,0.36338262,0.61608101,26.610273,0,2327,845.59136,845.59136,True
