query_order,round,flat_index,row_index,row_label,algorithm_index,algorithm,utility,acquisition,predicted_runtime_mean,predicted_runtime_sd,score,runtime
17328,386,17478,2496,6xeb_V1P_A_411,6,smina,0.016112636,0.016112636,,,0,13.463013
17329,386,9211,1315,4l1x_STR_B_402,6,smina,0.016112339,0.016112339,,,0,1.356542
17330,386,4563,651,2ixi_TYD_A_1182,6,smina,0.01611213,0.01611213,,,0,5.3923737
17331,386,9610,1372,4nir_6DH_B_306,6,smina,0.016111258,0.016111258,,,0,1.7943381
17332,386,14230,2032,5y8k_SER_B_301,6,smina,0.016110608,0.016110608,,,1.988193e-05,0.73400011
17333,386,1665,237,1lqp_FCN_A_4004,6,smina,0.016109148,0.016109148,,,0,0.675432
17334,386,1679,239,1lqp_FCN_B_4003,6,smina,0.016108531,0.016108531,,,0,0.62454159
17335,386,5214,744,2qx9_ML2_A_233,6,smina,0.016108504,0.016108504,,,0,1.8522765
17336,386,10653,1521,4yjs_4DN_A_701,6,smina,0.016108086,0.016108086,,,0,8.4233364
17337,386,1217,173,1iwe_IMP_B_1452,6,smina,0.016108046,0.016108046,,,0,3.8389074
17338,386,8574,1224,4hmx_WUB_A_302,6,smina,0.016108026,0.016108026,,,0,1.2245327
17339,386,17177,2453,6tol_NQW_A_201,6,smina,0.016108012,0.016108012,,,0,8.0260068
17340,386,16351,2335,6ofr_BOG_A_804,6,smina,0.016107832,0.016107832,,,1.9470265e-11,5.8319743
17341,386,12438,1776,5ioq_DUR_B_302,6,smina,0.016107387,0.016107387,,,0,1.964662
17342,386,9918,1416,4q40_VAL_B_403,6,smina,0.016107105,0.016107105,,,8.2591593e-07,0.8341732
17343,386,2484,354,1rvz_NAG_F_3331,6,smina,0.016106993,0.016106993,,,3.5316398e-09,1.7693563
17344,386,11339,1619,5ci9_549_A_401,6,smina,0.016105625,0.016105625,,,0,1.5641601
17345,386,5592,798,2whq_HI6_B_1545,6,smina,0.0161047,0.0161047,,,0,1.1868359
17346,386,16729,2389,6r5o_BGC_A_802,6,smina,0.016104176,0.016104176,,,6.2702144e-07,0.92217549
17347,386,4136,590,2f64_12Q_B_471,6,smina,0.016103529,0.016103529,,,0,0.84615216
17348,386,10667,1523,4ynu_LGC_A_603,6,smina,0.016103079,0.016103079,,,1.6143967e-06,0.78943356
17349,386,5585,797,2whq_HI6_A_1543,6,smina,0.016101328,0.016101328,,,0,1.3114414
17350,386,16827,2403,6rgg_K3Q_B_402,6,smina,0.016100384,0.016100384,,,7.7819968e-06,4.8392919
17351,386,13439,1919,5t85_44G_L_301,6,smina,0.016099714,0.016099714,,,5.2720656e-05,4.3491934
17352,386,10597,1513,4xpq_FUL_A_1004,6,smina,0.016098294,0.016098294,,,0.0037429782,0.63755258
17353,386,14223,2031,5y8k_SER_A_301,6,smina,0.016091405,0.016091405,,,1.844563e-05,0.79308025
17354,386,14286,2040,5yb7_ORN_C_602,6,smina,0.016090241,0.016090241,,,0.0020743766,1.3051357
17355,386,489,69,1fs5_16G_B_2267,6,smina,0.016078891,0.016078891,,,1.2081998e-07,2.9028297
17356,386,6355,907,3rop_NCA_B_302,6,smina,0.016074381,0.016074381,,,0,0.92300058
17357,386,9085,1297,4k5g_Q13_A_803,6,smina,0.016072339,0.016072339,,,1.2075471e-12,6.8065
17358,386,251,35,1d3g_ORO_A_399,6,smina,0.016071383,0.016071383,,,0,0.83512455
17359,386,16218,2316,6nig_NAG_C_802,6,smina,0.016057385,0.016057385,,,1.3019599e-08,1.4470923
17360,386,2785,397,1tt6_DES_B_128,6,smina,0.016048244,0.016048244,,,0,2.0973725
17361,386,1840,262,1moo_4MZ_A_264,6,smina,0.016019904,0.016019904,,,0.0035009869,0.39876271
17362,386,14048,2006,5x23_LSN_A_504,6,smina,0.016009232,0.016009232,,,0,7.7516468
17363,386,14265,2037,5yb7_ORN_A_602,6,smina,0.016003272,0.016003272,,,0.0019406813,1.3009473
17364,386,16743,2391,6r5o_BGC_B_802,6,smina,0.015998215,0.015998215,,,1.446089e-06,0.9768059
17365,386,8343,1191,4fh7_TBP_A_202,6,smina,0.015995712,0.015995712,,,9.9408767e-06,0.66088771
17366,386,15161,2165,6fa1_D2Z_F_203,6,smina,0.015984863,0.015984863,,,0,5.5796953
17367,386,6131,875,2zwt_CAM_A_422,6,smina,0.015978964,0.015978964,,,0,0.54247913
17368,387,5168,738,2qui_LTN_A_501,2,diffdock,0.031770223,0.031770223,,,0,36.252834
17369,387,17390,2484,6vo2_R67_A_403,2,diffdock,0.015291309,0.015291309,,,0,24.6701
17370,387,1003,143,1h8p_PC_B_1111,2,diffdock,0.015250019,0.015250019,,,0,13.23852
17371,387,15710,2244,6krs_CIT_F_301,2,diffdock,0.015205644,0.015205644,,,0.023449573,39.280806
17372,387,12504,1786,5ivg_FPS_A_704,2,diffdock,0.015135378,0.015135378,,,0,40.274195
17373,387,8409,1201,4ghf_4NC_D_402,2,diffdock,0.015105759,0.015105759,,,0,37.113025
17374,387,9438,1348,4mop_2H5_A_802,2,diffdock,0.015069846,0.015069846,,,0,43.30022
17375,387,2655,379,1thc_FL9_A_130,2,diffdock,0.014992872,0.014992872,,,2.1251691e-24,17.705145
17376,387,17397,2485,6vo2_R67_B_403,2,diffdock,0.014900814,0.014900814,,,0,25.356368
