query_order,round,flat_index,row_index,row_label,algorithm_index,algorithm,proposed_by_mu,proposed_by_ca,utility,cost_acquisition,predicted_runtime_mean,predicted_runtime_sd,affordable_repetitions,projected_gain,score,runtime
854,675,8065,1152,4ea0_651_A_306,1,unimol,True,False,0.78512146,0.49473716,21.611811,0,14548,11421.947,0.99071232,20.42
855,676,9583,1369,4p7q_NAG_A_703,0,surfdock,False,True,0.53865448,0.76132977,2.6819034,0,16947,9128.5774,0.084504057,2.6983645
856,677,2765,395,1uxi_FUM_B_1311,0,surfdock,False,True,0.53761095,0.76087588,2.690598,0,16946,9110.3552,0.78912487,2.5422915
857,678,2758,394,1uxi_FUM_A_1311,0,surfdock,False,True,0.53818515,0.7615019,2.6791928,0,16945,9119.5474,0,4.379057
858,679,6146,878,3roe_THM_D_265,0,surfdock,False,True,0.53694978,0.76323587,2.6473317,0,16944,9098.0771,0,3.3217274
859,680,13230,1890,5o4j_PJL_A_304,0,surfdock,False,True,0.53572017,0.76298575,2.6521976,0,16943,9076.7069,0.24224215,2.8153998
860,681,9317,1331,4n36_2F8_A_401,0,surfdock,False,True,0.53505755,0.76131895,2.6833241,0,16942,9064.9451,0,2.6534688
861,682,12824,1832,5kjw_53C_A_800,0,surfdock,False,True,0.53383795,0.76052606,2.6988471,0,16941,9043.7487,0.94584594,2.4249618
862,683,12825,1832,5kjw_53C_A_800,1,unimol,True,False,0.81171906,0.51401676,19.666655,0,15985,12975.329,0.98725683,20.24
863,684,9331,1333,4n36_2F8_C_401,0,surfdock,False,True,0.53478988,0.75984377,2.713371,0,16939,9058.8058,0,2.6603025
864,685,15932,2276,6l68_ALL_A_201,0,surfdock,False,True,0.53357638,0.75998156,2.7107809,0,16938,9037.7167,0,2.4466616
865,686,12859,1837,5kxb_NGA_C_305,0,surfdock,False,True,0.53236848,0.76063755,2.6985283,0,16937,9016.725,0,2.7464247
866,687,16472,2353,6ooi_PGA_F_301,1,unimol,True,False,0.78456089,0.44721359,27.386,0,11478,9005.1899,0.94178934,22.08
867,688,9325,1332,4n36_2F8_B_401,1,unimol,True,False,0.78007313,0.51046206,19.996752,0,15718,12261.189,0.96049557,20.74
868,689,10543,1506,4zb2_FRU_A_404,1,unimol,True,False,0.78244517,0.50099504,20.927757,0,15018,11750.762,0.92363692,24.05
869,690,13735,1962,5unr_8EV_A_803,1,unimol,True,False,0.78434025,0.44721359,27.382999,0,11477,9001.873,0.98263102,17.7
870,691,9850,1407,4rkz_3S4_B_401,1,unimol,True,False,0.78589848,0.47124427,24.22481,0,12972,10194.675,0.94027835,19.4
871,692,10612,1516,4zhd_4OZ_C_202,0,surfdock,False,True,0.5305189,0.76117235,2.6931736,0,16931,8982.2155,0.015308782,3.5120573
872,693,3556,508,2bdg_PBZ_B_302,0,surfdock,False,True,0.52936108,0.76122586,2.6937244,0,16930,8962.0831,0.99058278,2.4899735
873,694,3557,508,2bdg_PBZ_B_302,1,unimol,True,False,0.81524326,0.50995281,20.044479,0,15676,12779.753,0.99566928,18.75
874,695,2766,395,1uxi_FUM_B_1311,1,unimol,True,False,0.77831725,0.48817671,22.271589,0,14108,10980.5,0.91581464,16.79
875,696,6377,911,3u3o_3QV_A_297,0,surfdock,False,True,0.53041713,0.76160601,2.6881816,0,16927,8978.3708,3.4594526e-05,2.5725187
876,697,15491,2213,6hl7_CP_C_401,0,surfdock,False,True,0.52922989,0.7615671,2.6899297,0,16926,8957.7451,0.92243022,2.3841801
877,698,15492,2213,6hl7_CP_C_401,1,unimol,True,False,0.80379636,0.51584586,19.487076,0,16123,12959.609,0.90433662,16.76
878,699,3270,467,1zk0_SS2_A_1260,1,unimol,True,False,0.77816324,0.54270496,17.182543,0,16924,13169.635,0.96934391,13.76
879,700,15484,2212,6hl7_CP_A_401,0,surfdock,False,True,0.53011364,0.77475326,2.4538064,0,16923,8971.1131,0.99479686,2.3298442
880,701,15485,2212,6hl7_CP_A_401,1,unimol,True,False,0.81863692,0.52632458,18.544436,0,16922,13852.974,0.9671758,25.13
881,702,378,54,1e7h_PLM_A_1001,0,surfdock,False,True,0.53116404,0.76522833,2.6259906,0,16921,8987.8267,0.96268238,2.935885
882,703,379,54,1e7h_PLM_A_1001,1,unimol,True,False,0.81350386,0.50412171,20.606779,0,15244,12401.053,0.97538283,25.48
883,704,4410,630,2izf_BTN_B_300,0,surfdock,False,True,0.53213767,0.76098311,2.7063353,0,16919,9003.2372,0.99576395,3.2528317
884,705,4411,630,2izf_BTN_B_300,1,unimol,True,False,0.82067556,0.49853991,21.164204,0,14841,12179.646,0.28789159,21.21
885,706,3486,498,2ajx_TGN_L_501,0,surfdock,False,True,0.5331242,0.76065217,2.7143941,0,16917,9018.8621,0.02223558,3.7427729
886,707,1834,262,1nmz_NYM_A_301,0,surfdock,False,True,0.53199373,0.7616785,2.6957307,0,16916,8999.206,0.97243404,3.718592
887,708,1835,262,1nmz_NYM_A_301,1,unimol,True,False,0.81355698,0.47875636,23.309853,0,13473,10961.053,0,18.36
888,709,3514,502,2b3f_GAL_B_3311,0,surfdock,False,True,0.53294477,0.76063342,2.7155004,0,16914,9014.2279,0.98877692,2.6673716
889,710,3515,502,2b3f_GAL_B_3311,1,unimol,True,False,0.81367875,0.50739679,20.268044,0,15495,12607.952,0.98933276,25.35
890,711,1596,228,1lti_GAL_E_104,0,surfdock,False,True,0.53396804,0.76045534,2.7207127,0,16912,9030.4675,0.99412383,2.5128518
891,712,1597,228,1lti_GAL_E_104,1,unimol,True,False,0.81574447,0.50966151,20.044704,0,15666,12779.453,0.96631519,20.05
892,713,1589,227,1lti_GAL_D_104,0,surfdock,False,True,0.53499521,0.76140705,2.7043748,0,16910,9046.769,0.99229857,2.4170301
893,714,1590,227,1lti_GAL_D_104,1,unimol,True,False,0.8163114,0.51070438,19.940271,0,15747,12854.456,0.92993194,23.04
894,715,8967,1281,4kqx_HIO_A_402,0,surfdock,False,True,0.53600811,0.76015696,2.7295434,0,16908,9062.8252,0.81156222,2.644021
895,716,8968,1281,4kqx_HIO_A_402,1,unimol,True,False,0.78294156,0.50624419,20.365482,0,15417,12070.61,0.95520729,26.37
896,717,7903,1129,4do1_ANN_B_502,0,surfdock,False,True,0.53661197,0.76145132,2.7068202,0,16906,9071.9619,0.99638973,2.6886339
897,718,7904,1129,4do1_ANN_B_502,1,unimol,True,False,0.81842882,0.50738363,20.249615,0,15504,12688.92,0.98563776,18.17
898,719,7910,1130,4do1_ANN_C_502,0,surfdock,False,True,0.53763485,0.7689529,2.5709636,0,16904,9088.1794,0.99806827,2.5930361
899,720,7911,1130,4do1_ANN_C_502,1,unimol,True,False,0.81975944,0.51508396,19.514568,0,16086,13186.65,0.97909159,19.87
900,721,7917,1131,4do1_ANN_D_502,0,surfdock,False,True,0.53865594,0.76860513,2.5781164,0,16902,9104.3627,0.99500566,2.5249288
901,722,7918,1131,4do1_ANN_D_502,1,unimol,True,False,0.82013876,0.51528263,19.491457,0,16104,13207.515,0.97936974,21.45
902,723,13468,1924,5tde_2HP_B_902,0,surfdock,False,True,0.53966577,0.76270029,2.6872973,0,16900,9120.3515,0,1.8370169
903,724,13461,1923,5tde_2HP_B_901,0,surfdock,False,True,0.53849309,0.77294516,2.4980876,0,16899,9099.9946,0.9961562,2.1390357
904,725,13462,1923,5tde_2HP_B_901,1,unimol,True,False,0.82096731,0.5263048,18.498297,0,16898,13872.706,0.94388161,19.98
905,726,658,94,1giu_ADE_A_300,0,surfdock,False,True,0.53949569,0.76420742,2.6568143,0,16897,9115.8586,0.98646955,2.2384406
906,727,659,94,1giu_ADE_A_300,1,unimol,True,False,0.81983932,0.51942874,19.106384,0,16426,13466.681,0,12.77
907,728,3878,554,2eb5_OXL_B_2002,0,surfdock,False,True,0.54043536,0.76256438,2.689121,0,16895,9130.6554,0.98365441,2.2528923
908,729,3879,554,2eb5_OXL_B_2002,1,unimol,True,False,0.81638819,0.51862532,19.178047,0,16364,13359.376,0.96461801,18.51
909,730,3885,555,2eb5_OXL_C_2003,0,surfdock,False,True,0.54140559,0.77468996,2.4722488,0,16893,9145.9646,0.98853298,2.2476412
910,731,3886,555,2eb5_OXL_C_2003,1,unimol,True,False,0.81815686,0.52540593,18.57345,0,16892,13820.306,0.96425191,19.11
911,732,3871,553,2eb5_OXL_A_2001,0,surfdock,False,True,0.54238235,0.77686465,2.4350712,0,16891,9161.3803,0.98917454,2.2354571
912,733,3872,553,2eb5_OXL_A_2001,1,unimol,True,False,0.81911398,0.52590311,18.529078,0,16890,13834.835,0.839325,26.19
913,734,3892,556,2eb5_OXL_E_2005,0,surfdock,False,True,0.54333875,0.76817318,2.5906181,0,16889,9176.4482,0.99276216,2.1810126
914,735,3893,556,2eb5_OXL_E_2005,1,unimol,True,False,0.81988721,0.5165741,19.36199,0,16205,13286.272,0.97439962,22.25
915,736,2044,292,1p2s_ETF_A_400,0,surfdock,False,True,0.54431807,0.76429299,2.6638749,0,16887,9191.8992,0,1.9618461
916,737,8169,1167,4f8n_PC_A_202,0,surfdock,False,True,0.54315229,0.76341353,2.6762764,0,16886,9171.6696,0.9663152,2.5033255
917,738,8170,1167,4f8n_PC_A_202,1,unimol,True,False,0.81541188,0.50864032,20.104609,0,15605,12724.502,0.92965042,16.7
918,739,9149,1307,4lxi_22J_A_301,0,surfdock,False,True,0.54406347,0.76435784,2.6599233,0,16884,9185.9677,0.90201603,3.632006
919,740,9150,1307,4lxi_22J_A_301,1,unimol,True,False,0.80374505,0.48191607,22.891573,0,13704,11014.522,0,20.68
920,741,12320,1760,5i5s_NVU_A_402,0,surfdock,False,True,0.54485098,0.76538176,2.6426928,0,16882,9198.1743,0.96649614,2.7234169
921,742,12321,1760,5i5s_NVU_A_402,1,unimol,True,False,0.81400765,0.50707208,20.25378,0,15488,12607.35,0.99177429,16.41
922,743,16822,2403,6r6i_H50_B_201,1,unimol,True,False,0.77527171,0.55378256,16.276804,0,16880,13086.586,0.98586324,26.44
923,744,13328,1904,5r0i_SYV_A_2501,0,surfdock,False,True,0.54576104,0.76776798,2.6020658,0,16879,9211.9006,0.99776035,2.1647542
924,745,13329,1904,5r0i_SYV_A_2501,1,unimol,True,False,0.82168082,0.52782931,18.342146,0,16878,13868.329,0.99338809,16.11
925,746,11340,1620,5dne_ASN_A_601,0,surfdock,False,True,0.54673954,0.76563363,2.6419029,0,16877,9227.3232,0,2.5474067
926,747,11361,1623,5dne_ASN_D_601,0,surfdock,False,True,0.54558017,0.77001861,2.5617881,0,16876,9207.2109,0,2.420873
927,748,11347,1621,5dne_ASN_B_601,0,surfdock,False,True,0.54442582,0.77342311,2.501925,0,16875,9187.1857,0,2.5483569
928,749,11354,1622,5dne_ASN_C_601,0,surfdock,False,True,0.54327646,0.77171088,2.5321074,0,16874,9167.247,0,2.5017056
929,750,8141,1163,4evq_PHB_B_402,0,surfdock,False,True,0.54213206,0.76398722,2.6719618,0,16873,9147.3942,0.98976449,2.6146326
930,751,8142,1163,4evq_PHB_B_402,1,unimol,True,False,0.81980841,0.50791852,20.110798,0,15595,12784.912,0.99211104,16.7
931,752,8435,1205,4hrq_AZG_B_201,0,surfdock,False,True,0.54308974,0.7635586,2.6808062,0,16871,9162.467,0,2.192591
932,753,10626,1518,4zjz_BEZ_B_601,0,surfdock,False,True,0.54195051,0.76291087,2.6929412,0,16870,9142.705,0.99635403,2.3874813
933,754,10627,1518,4zjz_BEZ_B_601,1,unimol,True,False,0.82169285,0.50965854,19.921732,0,15742,12935.089,0.98838298,16.17
934,755,8162,1166,4f8n_GAL_A_204,0,surfdock,False,True,0.54291808,0.76319085,2.6897912,0,16868,9157.9422,0.98184816,2.4209852
935,756,8163,1166,4f8n_GAL_A_204,1,unimol,True,False,0.81989467,0.50944692,19.926895,0,15737,12902.682,0.96241952,18.93
936,757,9800,1400,4r3n_3GQ_B_404,0,surfdock,False,True,0.54384646,0.76091633,2.7327046,0,16866,9172.5144,0.86026705,2.7528801
937,758,9801,1400,4r3n_3GQ_B_404,1,unimol,True,False,0.79759461,0.50095657,20.739983,0,15119,12058.833,0.95777435,21.21
938,759,4291,613,2hjp_PPR_A_291,0,surfdock,False,True,0.54450912,0.76056444,2.74016,0,16864,9182.6018,0,2.503686
939,760,10346,1478,4xpq_FUL_A_1004,0,surfdock,False,True,0.54337618,0.75964014,2.7570043,0,16863,9162.9526,0.0056294515,2.0062277
940,761,10339,1477,4xpq_FUL_A_1003,0,surfdock,False,True,0.54225995,0.76659103,2.6292319,0,16862,9143.5874,0.017863074,2.3307931
941,762,994,142,1ho5_ADN_B_2604,0,surfdock,False,True,0.54117423,0.76254483,2.7042491,0,16861,9124.7388,0.97807602,3.3294322
942,763,995,142,1ho5_ADN_B_2604,1,unimol,True,False,0.81971964,0.48689688,22.165298,0,14145,11594.934,0.97888497,21.86
